zipcode,brnd_name,brnd_total_days,brnd_total_cost,brnd_avg_cost,gen_name,gen_total_day,gen_total_cost,gen_avg_cost
33407,Zoloft,0,0,N/A,Sertraline Hcl,139035.0,22432.08,0.16
37055,Zoloft,0,0,N/A,Sertraline Hcl,92272.0,20555.86,0.22
28604,Zoloft,0,0,N/A,Sertraline Hcl,10790.0,1664.46,0.15
02910,Zoloft,0,0,N/A,Sertraline Hcl,63371.0,16781.85,0.26
75231,Zoloft,420.0,4979.21,11.86,Sertraline Hcl,334770.0,65132.86,0.19
31626,Zoloft,0,0,N/A,Sertraline Hcl,1740.0,451.42,0.26
81601,Zoloft,0,0,N/A,Sertraline Hcl,40008.0,8006.85,0.2
11023,Zoloft,0,0,N/A,Sertraline Hcl,52653.0,9828.86,0.19
34995,Zoloft,0,0,N/A,Sertraline Hcl,280612.0,46974.55,0.17
11354,Zoloft,0,0,N/A,Sertraline Hcl,105081.0,17399.91,0.17
91342,Zoloft,0,0,N/A,Sertraline Hcl,63504.0,13452.87,0.21
02186,Zoloft,0,0,N/A,Sertraline Hcl,100716.0,18768.64,0.19
33021,Zoloft,0,0,N/A,Sertraline Hcl,136171.0,22855.36,0.17
30501,Zoloft,0,0,N/A,Sertraline Hcl,277071.0,51121.9,0.18
47732,Zoloft,0,0,N/A,Sertraline Hcl,101544.0,18519.06,0.18
16001,Zoloft,0,0,N/A,Sertraline Hcl,230333.0,67358.94,0.29
